210.15,210.15,210.15
210.3,210.3,210.3
210.52,179.28,194.9
199.96,187.17,193.565
201.3,198.7,200
223.91,223.91,223.91
242.07,242.07,242.07
264.61,264.61,264.61
271.82,271.82,271.82
265.2,265.2,265.2
253.6,253.6,253.6
241.32,241.32,241.32
226.44,226.44,226.44
220.72,220.72,220.72
216.55,216.55,216.55
215.14,215.14,215.14
217.07,217.07,217.07
220.86,220.86,220.86
222.5,222.5,222.5
223.84,223.84,223.84
222.35,222.35,222.35
221.68,221.68,221.68
219.52,219.52,219.52
214.84,212.01,213.425
213.61,179.83,196.72
208.84,180.65,194.745
204.08,183.4,193.74
202.67,193.67,198.17
206.24,206.24,206.24
216.21,216.21,216.21
249.84,237.56,243.7
329,341.2,335.1
372.01,372.01,372.01
320.15,320.15,320.15
297.16,297.16,297.16
278.26,278.26,278.26
240.24,240.24,240.24
228.49,228.49,228.49
223.05,223.05,223.05
223.2,223.2,223.2
223.58,223.58,223.58
239.27,239.27,239.27
278.71,278.71,278.71
308.09,308.09,308.09
305.12,305.12,305.12
270.82,270.82,270.82
249.69,249.69,249.69
215.02,215.02,215.02
208.76,208.76,208.76
198.72,198.72,198.72
198.49,198.49,198.49
200.06,200.06,200.06
194.1,194.1,194.1
200.5,200.5,200.5
254.14,254.14,254.14
294.32,294.32,294.32
295.96,295.96,295.96
251.24,251.24,251.24
236.29,236.29,236.29
227.06,227.06,227.06
225.35,225.35,225.35
223.42,223.42,223.42
222.82,222.82,222.82
221.33,221.33,221.33
228.03,228.03,228.03
236.44,236.44,236.44
257.71,257.71,257.71
293.87,293.87,293.87
302.28,302.28,302.28
279.89,279.89,279.89
255.33,255.33,255.33
223.12,223.12,223.12
213.55,213.55,213.55
208.49,208.49,208.49
203.13,203.13,203.13
202.76,202.76,202.76
206.03,206.03,206.03
214.36,214.36,214.36
265.7,265.7,265.7
320.39,320.39,320.39
314.59,350.75,332.67
265.7,326.72,296.21
270.17,298.14,284.155
252.83,285.87,269.35
245.47,251.64,248.555
230.51,232.89,231.7
220.09,225.45,222.77
216.3,220.61,218.455
215.26,219.87,217.565
219.2,232,225.6
220.69,260.94,240.815
220.61,293.83,257.22
222.55,237.21,229.88
222.25,222.25,222.25
213.99,213.99,213.99
208.41,208.41,208.41
200.18,200.18,200.18
184.26,184.26,184.26
181.88,181.88,181.88
171.47,171.47,171.47
174.44,174.44,174.44
202.64,208.52,205.58
246.16,240.28,243.22
275.54,275.54,275.54
280.45,290.05,285.25
269.89,282.46,276.175
267.28,267.28,267.28
247.87,247.87,247.87
223.32,228.75,226.035
213.72,222.72,218.22
213.2,217.67,215.435
210.45,210.45,210.45
210.97,210.97,210.97
226.37,226.37,226.37
251.74,251.74,251.74
252.18,252.18,252.18
222.2,222.2,222.2
218.56,218.56,218.56
213.2,213.2,213.2
210.82,210.82,210.82
196.56,196.56,196.56
205.48,205.48,205.48
202.14,202.14,202.14
200.06,200.06,200.06
200.8,200.8,200.8
203.1,203.1,203.1
222.14,222.14,222.14
238.65,238.65,238.65
255.98,255.98,255.98
261.04,261.04,261.04
214.93,213.59,214.26
201.47,202.81,202.14
193.59,196.93,195.26
193.88,193.88,193.88
188.08,188.08,188.08
184.51,184.51,184.51
190.76,195.44,193.1
208.16,203.48,205.82
250.33,250.33,250.33
287.81,287.81,287.81
294.06,294.06,294.06
261.71,261.71,261.71
256.2,256.2,256.2
236.94,236.94,236.94
244.83,244.83,244.83
204.52,204.52,204.52
199.09,199.09,199.09
198.35,198.35,198.35
197.01,197.01,197.01
196.49,196.49,196.49
198.2,198.2,198.2
201.85,201.85,201.85
216.13,216.13,216.13
219.84,219.84,219.84
212.26,212.26,212.26
209.73,209.73,209.73
204.15,204.15,204.15
199.47,199.47,199.47
196.04,196.04,196.04
193.52,193.52,193.52
173.36,192.4,182.88
193.37,202.07,197.72
220.14,211.51,215.825
238.21,238.21,238.21
218.65,218.65,218.65
214.04,214.04,214.04
210.18,210.18,210.18
204.97,204.97,204.97
